ID,Requisito,Processo,Subprocesso,Módulo,Submodulo,ID BPD,Nome BPD,Descrição,App ID,Atende,OBS,Acelerador,FIT/GAP/DELTA,Workshop,Workshop (bagunçado),SCOPE_ITEM,ID_GAP,GAP Descrição
623,1022,Financeiro,Contas a Pagar,FI,AP/MM,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir movimentos de pagamentos e geração de adiantamentos por ordem de compra e/ou fornecedor. A forma  e  prazo  de  pagamento  devem  vir  da  OC  e  gerar  as  integrações  necessárias.  Ex:  se  a  forma  for adiantamento,  o  mesmo  deve  ser  gerado  no  sistema  automaticamente  pelo  vinculo  com  a  OC  sem  a necessidade  de  se  gerar  manualmente  o  processo  de  adiantamento,  respeitando  o  limite  de  crédito  do fornecedor  e  também  o  vinculo  da  baixa  de  adiantamento  após  o  recebimento  da  mercadoria  ou  serviço. Permitir  gestão  dos  adiantamentos,  com  aplicação  automática  no  momento  do  pagamento.  O  processo  de pagamento  deve  alimentar  automaticamente  o  controle  de  adiantamento,  assim  como  a  baixa  do  mesmo quando do lançamento e liberação da nota.",,,Adiantamento manual de fornecedor,,FIT,,,J60,,
624,1023,Financeiro,Contas a Pagar,FI,AP/AR,FI - BPD007 - Gestão de contas a receber (AR),BPD007 - Finanças - Gestão de contas a receber (AR),"Permitir a baixa por permuta entre o contas a pagar e o a receber (fornecedor e cliente ao mesmo tempo).
Encontro de contas.",,,,,FIT,,,J59,,
625,1024,Financeiro,Contas a Pagar,FI,FSCM-CLM,FI - BPD012 - Gestão de Fluxo de Caixa (FSCM-CLM),BPD012 - Finanças - Gestão de Fluxo de Caixa (FSCM-CLM),"Permitir que as alterações de data de vencimento dos titulos do Contas a Pagar sejam refletidas na projeção do  fluxo  de  caixa.  Permitir  a  integração  /  atualização  do  fluxo  de  caixa  a  cada  nova  programação  de
pagamento (inserção de titulo a pagar).",,Atende,Analisador do fluxo de caixa,,FIT,,,3L5,,
626,1025,Financeiro,Contas a Pagar,FI,AP/AR,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir o rastreamento do histórico de titulos pagos e/ou a pagar, considerando ao menos os filtros: CNPJ,
Código do fornecedor, Razão Social/Nome, Conta, Ordem de compra, nota fiscal, tipo de documento, valor, data de emissão, ordem de pagamento (código de pagamento) e data de vencimento.",,,Administrar itens de fornecedor,,FIT,,,J60,,
627,1026,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir gerenciamento e monitoramento da utilização do cartão de crédito corporativo. Permitir o controle e a prestação de conta individualizada por cartão de crédito. A prestação de conta não pode estar atrelada ao fechamento da fatura pois o fechamento e aprovação das despesas acontecem em períodos distintos, ou seja, dificilmente o período de prestação de conta é o mesmo da composição da fatura. Normalmente a prestação de conta é semanal (segunda a sexta) e a fatura possui fechamento mensal, com data de corte em qualquer dia da semana. Os cartões são de uso individual, portanto precisamos também vínculo entre o cartão e seu usuário, limite, vencimento, etc. o Cartão e a prestação de conta devem possuir vínculo com o usuário para demonstração das despesas que a empresa arca em relação ao funcionário/usuário.",,,"GAP previsto - Será desenvolvido um cockpit para controle de reembolso a colaboradores, e o gerenciamento de cartão de crédito corporativo também será agregado a este cockpit.",Não,GAP,,,,,
628,1027,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir  a  manutenção  de  conta  bancária  de  fornecedores.  Possibilidade  de  cadastro  de  várias  contas
bancárias por fornecedor e a definição de uma conta como padrão.",,,Cadastro de conta bancária,,FIT,,,J60,,
629,1028,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir  o cadastro da  conta  bancária  do  fornecedor  a  nível  de  raiz  do CNPJ  e/ou  CNPJ  completo.  Sistema deve  entender  grupo  econômico  também  em  relação  aos  fornecedores  e  não  somente  em  relação  aos clientes,  possibilitando  pagamento  único  (agrupamento  de  titulos  a  pagar  do  mesmo  grupo).  (Padrão  para
Matriz e Filiais exceto CNPJ&#39;s distintos)",,,Cadastro de conta bancária,,FIT,,,J60,,
630,1029,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir  automatização  e  gerenciamento  do  DDA.  Integração  bancária  deve  contemplar  sistemática  de pagamento por DDA, pois nesta solução não existe mais código de barras, portanto a linha digitável deve ser importada automaticamente através e arquivos de integração com os bancos, principalmente, Bradesco, BB ,
Safra, Itaú, Santander, Sicoob, Sicredi",,,DDA,,FIT,,,J60,,
631,1030,Financeiro,Contas a Pagar,FI,AP,FI - BPD006 - Gestão de Bancos (BL),BPD006 - Finanças - Gestão de Bancos (BL),"Permitir  trabalhar  com  integração  bancária  via  API.  Possuir  conformidade  com  os  demais  projetos  das instituições  financeiras.  Conciliação  de  extratos  e  outras  soluções  de  integração  que  os  bancos  oferecem. Permitir  de  forma  automatizada  a  integração,  identificação  de  inconsistência  ,  comprovantes  e  baixa  de
pagamentos. Bradesco, BB, Santander, Itaú, Safra, Santander, Sicoob, Sicredi",,,"GAP previsto - Ativar a interface  de comunicação bancária e atualização de dados de pagamentos e receitas, bem como conciliação e importação de extrato Bancario",Não,GAP,,,,,
632,1031,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),Alertas ou dashboards com avisos dos titulos a pagar como forma de se evitar atrasos nos pagamentos.,,,Administrar itens de fornecedor,,FIT,,,J60,,
633,1035,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Efetuar  agendamento  de  compromissos  para  pagamentos  recorrentes  (que  ocorrem  ao  longo  do  ano), considerando no fluxo de caixa. Sistema deve entender que existem contas recorrentes (água, luz, telefone, internet, etc..) que devem ser pagas todo mês e auxiliar na gestão das mesmas, alertando antes de alguma forma, antes do vencimento, se alguma destas contas deixou de ser lançada e ou paga, mesmo para as contas em que o valor devido somente é sabido após o recebimento da cobrança (água, luz, telefone…)",,,Aviso de tesouraria,,,,,,,
634,1036,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Confrontar boletos bancários com valores, nº do documento, raiz CNPJ (Pagador e pagador final), vencimento, das notas informadas (conciliação automática). Não permitir que o boleto possua informações de pagamento divergentes  em  relação  ao  documento  fiscal  ou  contrato.  Ex:  nota  ou  contrato  preveem  pagamento  de determinado valor a determinado fornecedor, mas o boleto trás informações divergentes. Neste caso sistema deve acusar inconsistência e não pode liberar amarração e pagamento sem autorização ou ao menos alertar
divergência.",,,Será ativado uma BADI para verificação do valor do código de barra X valor da fatura amarrada,,GAP,,,,,
635,1043,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir  a  alteração  de  forma  de  pagamento,  nos  casos  em  que  o  sistema  não  realizou  os  pagamentos
eletrônicos  (integração).  Possibilidade  de  ajuste  rápido  dos  pagamentos  que  acusaram  inconsistência  na integração.",,,Edição de documento contábil,,FIT,,,J60,,
636,1044,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir  o  pagamento do titulo fora  da  data programada.  Desde  que  esta  situação (antecipação ou  atraso) fique visível para o(s) aprovador(s). No caso de pagamento em atraso, o sistema deve registrar os juros pagos
para posterior avaliação.",,,Edição de documento contábil,,FIT,,,J60,,
637,1045,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),Permitir o controle centralizado dos agendamentos de pagamentos de titulos das diversas empresas do Grupo e não somente Matriz e Filiais. Visão de central de serviços e conta bancária de pagamento por raiz CNPJ.,,,Administrar itens de fornecedor,,FIT,,,J60,,
638,1047,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Possuir  perfis  de  aprovação para  autorização  de  pagamento onde  um  pagamento  não seja autorizado  pelo mesmo usuário que registrou o titulo no contas a pagar (segregação de função). Estas alçadas de aprovação
das contas, ou permissões de acesso devem ocorrer antes da integração bancária.",,,"Workflow flexivel, integração de faturas",,FIT,,,J60,,
639,1049,Financeiro,Contas a Pagar,FI,AP/AR,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Realizar confronto de contas (crédito/débitos do parceiro de negócios) antes de efetivar pagamento (encontro de  contas).  Validar  se  parceiro  possui  algum  débito  para  ser  compensado,  ou  se  o  fornecedor  também  é cliente  e  se  possui  algo  pendente  para  fazermos  o  encontro  de  contas  e  alertar  o  operador.  Considerar sempre visão de CSC (centro serviço compartilhado), onde deve enxergar o parceiro de negócio em todas as
empresas do Grupo Potencial.",,,"GAP previsto - Criar uma regra lógica aonde seja realizado check list para verificação de debitos tbm no fornecedor
lincando ao cliente",,GAP,,,,,
640,1050,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Os  impostos  retidos  ou  devidos,  relacionados  as  compras  (notas,  contratos,  etc…)  devem  ser  gerados automaticamente  pelo  lançamento  do  documento  original  de  forma  a  restar  apenas  a  consolidação  dos mesmos e a geração da guia de pagamento para sequência do processo. Em relação a folha de pagamento, deve existir integração com o Sistema Senior, tanto o pagamento aos funcionários, como as contabilizações e
os impostos gerados automaticamente na solução.",,,Interface com a senior,,GAP,,,,,
641,1056,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir controle de limites para adiantamentos a fornecedores. Objetivo que os fornecedores possuam um limite , da mesma forma que os Clientes e além disso que o usuário possua uma alçada ou perfil de aprovação por   tipo   de   pagamento/adiantamento.   Permitir   também   gestão   do   limite   de   crédito   concedido   pelo Fornecedor  para  compras  a  prazo,  com  o  objetivo  de  gerenciar  possíveis  estouros  e  a  necessidade  de renegociação do limite ou antecipação do pagamento inicialmente acordado para liberação do limite. Deve
alertar usuário já no lançamento das ordens de compra, carregamentos, etc.",,,GAP,,GAP,,,,,
642,1058,Financeiro,Contas a Pagar,CO,CCA,CO - BPD014 - Fechamento de despesas e cálculos dos custos padrão e real (Material Ledger),BPD014 - Finanças - Fechamento de despesas e cálculos dos custos padrão e real (Material Ledger),"Possuir critérios de rateio das despesas por centro de custos (rateio automático de custos). Permitir rateios e vinculação aos centros de custo de forma automática conforme tipos de despesa, sem a necessidade de fazer
manualmente a cada lançamento.",,,OKB9,,,,,J54,,
643,1059,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Somente permitir a inclusão manual de titulos diretamente no contas a pagar, a partir da conciliação bancária e  somente  das  receitas  e  despesas  financeiras  (despesas  bancárias  e  receitas  constantes  no  extrato  dos bancos),  demais  casos  devem  seguir  processo  normal  de  compra  e  venda  ou  perfil  de  acesso  específico.
Objetivo evitar fraudes e desvios.",,,"Workflow flexivel, integração de faturas",,FIT,,,J60,,
644,1061,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"O  sistema  deve  possibilitar  a  definição  da  conta  contábil  de  lançamento  do  desconto/acréscimo  inserido
manualmente no titulo.",,,Compensação manual,,FIT,,,J60,,
645,1063,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir  agrupamento manual  ou automático de  documentos de um mesmo fornecedor.  Automaticamente
quando a forma de pagamento cadastrada no titulo for TED, cheque, depósito, DOC,  cartão de crédito e PIX e manualmente quando a forma de pagamento for Boleto ou DDA.",,,Compensação manual ou flag de pagamento unico,,FIT,,,J60,,
646,1064,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Disponibilizar  informação  dos  titulos  em  aberto  possibilitando  a  extração  dos  dados  em  diversos  formatos
(ex.: XLS, PDF, etc.).",,,Administrar itens de fornecedor,,FIT,,,J60,,
647,1065,Financeiro,Contas a Pagar,FI,FI-GL,FI - BPD003 - Gestão da Contabilidade Geral (GL),BPD003 - Finanças - Gestão da Contabilidade Geral (GL),"Realizar bloqueio dos lançamentos após o fechamento mensal, visando evitar ajustes contábeis indevidos.",,Atende,,,,,,,,
648,1069,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),Permitir efetuar modificações em massa nos titulos para pagamento. Ex: alteração de data de vencimento.,,,Administrar itens de fornecedor,,FIT,,,J60,,
649,1070,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),Permitir identificação da filial de origem do titulo no contas à pagar.,,,"Administrar itens de fornecedor/ 
Dependente da definição da EO de segmento/centro de lucro",,FIT,,,J60,,
650,1074,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Somente permitir pagamento de titulos que não seguiram o fluxo normal de compra e aprovações, mediante
aprovação específica (alçada ou perfil de acesso). Ex: tributos, taxas, juros e multas, etc.",,,"Workflow flexivel, integração de faturas",,FIT,,,J60,,
651,1075,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir  o estorno de pagamentos  sem  perder os  vínculos e  amarrações  com  as  demais  etapas  envolvidas,
garantindo segurança e confiabilidade dos dados.",,,Estorno de pagamento,,FIT,,,J60,,
652,1076,Financeiro,Contas a Pagar,FI,FSCM-TRM/RE,FI - BPD009 - Gestão de Contratos Financeiros (TRM),BPD009 - Finanças - Gestão de Contratos Financeiros (TRM),"Permitir a gestão e monitoramento dos contratos de aluguel, FINAME, notas de crédito, dos agendamentos de pagamentos automáticos e adiantamentos. Gestão completa do processo/contrato e não apenas da parcela paga, ou seja, conseguir visualizar o contrato por completo, valor total, parcelas pagas e a pagar, etc.",,,RE,,,,,N/A,,
653,1077,Financeiro,Contas a Pagar,FI,FSCM-TRM/RE,FI - BPD009 - Gestão de Contratos Financeiros (TRM),BPD009 - Finanças - Gestão de Contratos Financeiros (TRM),"Permitir o reajuste / atualização de parcelas de contratos (aluguel, finame) conforme índices praticados (IGP-
M,  IPC-A,  etc).  Sistema  deve  ao  menos  alertar  que  valores  precisam  ser  corrigidos  conforme  condições contratadas.",,,RE,,,,,N/A,,
654,1078,Financeiro,Contas a Pagar,FI,AP/AR/BL,FI - BPD006 - Gestão de Bancos (BL),BPD006 - Finanças - Gestão de Bancos (BL),"Permitir  integração  via  API  dos  recebimentos,  extratos,  etc  Principalmente  Safra,  Bradesco  ,  BB,  Itaú, Santander, Sicoob, Sicredi",,,GAP previsto,,GAP,,,,,
655,1079,Financeiro,Contas a Receber,FI,AR/SD,FI - BPD007 - Gestão de contas a receber (AR),BPD007 - Finanças - Gestão de contas a receber (AR),"Permitir pré-conciliação dos recebimentos do dia (comprovantes recebidos e ou créditos identificados na CC). Esta pré conciliação deve acusar na tela de pedidos e liberação de pedidos para que demais áreas saibam que o  cliente  já  apresentou  comprovante  de  pagamento  antes  mesmo  da  baixa  efetiva  que  deve  acontecer somente  no  dia  útil  seguinte.  Caso  pagamento  não  se  concretize  a  pré  conciliação  deve  ser  estornada
automaticamente após o processamento da cobrança.",,,"Baixa manual no dia posterior, desenhar pop-up na tela de cadastro de OV",,GAP,,,,,
656,1081,Financeiro,Contas a Receber,FI,AR,FI - BPD007 - Gestão de contas a receber (AR),BPD007 - Finanças - Gestão de contas a receber (AR),"Permitir registro depósito não identificado, para posterior baixa do titulo, crédito ao cliente ou devolução.",,,Lançar entrada de pagamento,,FIT,,,J59,,
657,1082,Financeiro,Contas a Receber,FI,AR,FI - BPD007 - Gestão de contas a receber (AR),BPD007 - Finanças - Gestão de contas a receber (AR),"Possibilidade de Gerenciar e monitorar recebíveis por tipo de titulo, considerando obrigatoriamente: cheques, duplicata,  cheque  devolvido,  aluguel,  fundo  perdido,  acordo  judicial,  financiamento,  confissão  de  divida, manutenção  (bombas),  recuperação  de  despesas  e  nota  de  débito.  Funcionalidade  também  em  forma  de relatório.",,,Administrar itens de cliente,,FIT,,,J59,,
658,1084,Financeiro,Contas a Receber,FI,AR,FI - BPD007 - Gestão de contas a receber (AR),BPD007 - Finanças - Gestão de contas a receber (AR),Permitir a emissão da carta de anuência para clientes (contas a receber). Quitação anual de débitos.,,,GAP,,GAP,,,,,
659,1086,Financeiro,Contas a Receber,FI,AR,FI - BPD007 - Gestão de contas a receber (AR),BPD007 - Finanças - Gestão de contas a receber (AR),"Permitir registro de desconto especial de juros, com identificação do usuário e somente para quem possuir
permissão. Deve possuir relatório para conferência e apuração de descontos concedidos.",,,Controle de acesso e relatório extratido da conta do razão,,,,,J59,,
660,1087,Financeiro,Contas a Receber,FI,AR,FI - BPD007 - Gestão de contas a receber (AR),BPD007 - Finanças - Gestão de contas a receber (AR),"Permitir a gestão e conciliação de devoluções de créditos originados por devolução de vendas, cancelamentos de notas fiscais, créditos indevidos, etc.",,,GAP previsto - Criação de popup para hierarquia de Grupo Economico,,GAP,,,,,
661,1088,Financeiro,Contas a Receber,FI,AR,FI - BPD007 - Gestão de contas a receber (AR),BPD007 - Finanças - Gestão de contas a receber (AR),"Permitir   o  gerenciamento  e  baixa  de  titulos  para  perdas  recuperáveis  e  irrecuperáveis,  bem  como  a recuperação das mesmas. As perdas  devem ficar visíveis para o Comercial, vendas para evitar retomada de vendas sem a regularização dos débitos. A movimentação deve ser apenas contábil para abatimento do IR e
não pode limpar o extrato de débitos do cliente.",,,Criar razão especial para identificação dos titulos,,FIT,,,2PD,,
662,1089,Financeiro,Contas a Receber,FI,AR,FI - BPD007 - Gestão de contas a receber (AR),BPD007 - Finanças - Gestão de contas a receber (AR),"Permitir o recebimento parcial de titulos e/ou parcelamento/reparcelamento de valores em aberto, com as devidas validações do vcto original, reflexos de juros e multa. Disponível para determinado perfil ou alçada.",,,Perfil de acesso para compensação de titulos,,FIT,,,J59,,
663,1090,Financeiro,Contas a Receber,FI,AR,FI - BPD007 - Gestão de contas a receber (AR),BPD007 - Finanças - Gestão de contas a receber (AR),"Gestão dos boletos emitidos para conciliação com a base de dados dos bancos e possíveis baixas por decurso
de prazo.",,,GAP para geração de boleto,,GAP,,,J59,,
664,1091,Financeiro,Contas a Receber,FI,AR/FSCM-CR,FI - BPD001 - Estrutura Organizacional Finanças,BPD001 - EO - Estrutura Organizacional Finanças,"Permitir  controle  centralizado  de  cobrança/crédito.  Por  raiz  de  CNPJ  ou  Grupo  Econômico.  Alguns  clientes
pagam por um cnpj mas compram por vários CNPJ do grupo, sistema deve permitir a baixa ou transferência do crédito entre clientes do mesmo grupo.",,,"GAP previsto - Criação uma regra para gestão de hierarquia de Grupo Economico, entre mesmo CNPJ",,GAP,,ID 9 - FI-FSCM (T1) Área de Controle de Crédito FSCM,BD6,,
665,1093,Financeiro,Contas a Receber,FI,AR,FI - BPD007 - Gestão de contas a receber (AR),BPD007 - Finanças - Gestão de contas a receber (AR),"Permitir todas as modalidades de recebimento: cheques, depósito, permuta, empréstimos, boletos bancários
(a prazo e antecipado), PIX.",,,Determinado por formas de pagamento,Sim para PIX - 16,FIT,,,J59,,
